Item,Chicago,Detroit,Minneapolis-St.Paul,Cleveland,New York,Philadelphia,Boston,"Washington, D.C.",Baltimore,Atlanta,Miami,Dallas-Fort Worth,Houston,Los Angeles,San Francisco,San Diego,Seattle,Phoenix,Year
"Meats, poultry, fish, and eggs",956,857,802,657,959,847,1017,968,932,705,826,786,817,883,843,663,762,827,2010
Cereals and bakery products,615,546,582,474,565,523,712,569,487,387,523,456,438,489,576,447,547,472,2010
Dairy products,433,405,517,371,446,419,502,453,326,283,448,358,351,388,457,347,399,347,2010
Fruits and vegetables,875,709,775,560,811,676,932,839,641,509,801,638,638,828,920,717,717,620,2010
Other food at home,1555,1429,1508,1201,1290,1237,1708,1370,1159,1054,993,1267,1283,1353,1418,1146,1417,1424,2010
Food away from home,2767,2111,2744,2270,3341,2515,3195,3494,2614,2461,1790,3168,3083,3240,3706,2512,3332,2893,2010
Alcoholic beverages,411,360,776,398,555,431,644,585,385,365,234,373,541,491,676,581,839,519,2010
Housing,20537,16489,18291,14720,23238,19690,20959,25427,20642,17932,18407,18181,19323,20584,26268,21679,21627,16480,2010
Apparel and services,1985,1645,1617,1349,2476,1817,1854,2666,1749,1668,1493,2245,2095,2340,2230,2398,2330,2421,2010
Transportation,8662,9460,7482,6931,7944,6960,9104,10067,6566,7164,6569,8016,9410,8540,8509,6963,10054,8008,2010
Healthcare,3500,2871,3668,2824,3016,2950,4004,3554,3043,2668,1629,3182,3413,2478,3461,2370,3922,2995,2010
Entertainment,3095,2810,2922,2598,2658,2618,3738,3656,2594,2230,1562,2660,2833,2416,3116,2278,4480,3096,2010
Personal care products and services,703,601,675,533,677,627,707,992,701,656,601,721,755,646,782,681,878,792,2010
Reading,111,108,125,92,114,121,193,165,92,71,21,81,129,92,158,79,169,81,2010
Education,1587,1550,1596,1198,1940,1801,2550,1901,1641,832,567,722,1176,1112,1754,754,1310,311,2010
Tobacco products and smoking supplies,332,495,342,467,251,388,534,229,291,213,141,340,341,196,153,132,397,408,2010
Miscellaneous,768,1320,827,769,749,1293,1063,854,546,883,622,678,1268,804,1077,536,1325,741,2010
Cash contributions,1815,1536,2098,1470,1586,1609,1723,1950,1622,1511,745,1989,2193,1550,2020,1447,3056,1675,2010
Personal insurance and pensions,6315,5305,7073,5680,6325,5519,7925,10336,6784,5911,4294,7115,6677,6145,9237,6283,7754,4907,2010
