Chicago,Detroit,Minneapolis-St.Paul,Cleveland,New York,Philadelphia,Boston,"Washington, D.C.",Baltimore,Atlanta,Miami,Dallas-Fort Worth,Houston,Los Angeles,San Francisco,San Diego,Seattle,Phoenix,Year
919,868,856,895,986,803,1044,1017,828,682,925,748,836,1023,919,626,879,741,2008
419,456,515,386,414,398,522,475,352,313,459,395,383,437,478,315,498,406,2008
724,677,739,596,755,589,802,792,576,532,807,592,576,881,916,660,750,607,2008
1476,1490,1498,1251,1203,1165,1620,1405,1069,1073,1116,1316,1304,1455,1448,1147,1641,1465,2008
3056,2780,2977,2053,3331,2685,2817,3930,2723,2999,1833,2701,3323,3343,4070,2468,2983,2685,2008
575,422,867,383,516,465,604,785,416,375,308,348,626,515,774,482,600,472,2008
20830,15866,19842,16933,23441,20870,20677,26128,20255,17275,18459,17737,18059,22645,26111,22562,21515,19492,2008
2757,1758,2251,2191,2535,1940,2097,2737,1415,1635,1238,1784,1990,2026,2456,1941,2548,2046,2008
8947,9200,9678,8365,8249,8658,8067,10452,7793,7316,8506,10140,10880,9227,10591,6556,9643,11630,2008
3324,2432,3365,3651,2829,2682,2936,2996,2571,2383,1933,2787,3002,2512,3321,1840,3373,3195,2008
2885,2268,3672,2417,2763,2874,3334,3115,2730,2168,1630,2697,2653,2782,3409,2346,3748,3560,2008
726,515,727,529,699,641,594,836,555,527,604,758,761,752,932,603,752,707,2008
123,106,132,142,113,151,177,157,74,79,31,93,90,123,174,85,245,115,2008
1595,1088,823,751,1795,1895,1538,1875,1294,467,968,774,1009,1117,1450,596,1125,555,2008
323,421,290,352,210,378,349,263,225,197,143,225,298,178,176,108,282,308,2008
882,983,804,647,964,935,868,1254,746,751,1151,690,733,1110,1101,707,1321,972,2008
1505,1278,2172,1514,1462,2106,1042,2461,1742,1588,1828,2014,1886,2356,1822,1338,3365,2059,2008
6303,4913,6503,5035,6386,6004,6222,9408,6746,5900,4651,6721,6879,6148,8256,6439,7750,5337,2008
