Item,Chicago,Detroit,Minneapolis-St.Paul,Cleveland,New York,Philadelphia,Boston,"Washington, D.C.",Baltimore,Atlanta,Miami,Dallas-Fort Worth,Houston,Los Angeles,San Francisco,San Diego,Seattle,Phoenix,Year
"Meats, poultry, fish, and eggs",878,843,904,726,1004,817,1101,1048,948,837,912,980,864,989,1013,723,874,812,2012
Cereals and bakery products,596,583,639,477,601,605,814,637,666,501,490,569,530,542,562,427,625,576,2012
Dairy products,400,434,521,368,438,446,569,486,412,347,369,416,371,456,437,383,482,416,2012
Fruits and vegetables,862,830,735,597,870,697,1104,956,789,735,727,735,744,922,1008,727,849,723,2012
Other food at home,1451,1434,1594,1241,1272,1344,1819,1651,1567,1237,1007,1442,1431,1428,1506,1321,1751,1670,2012
Food away from home,2935,2616,2735,2482,3089,2879,3155,4262,3522,2411,2044,3009,3333,3166,3908,3165,3196,2788,2012
Alcoholic beverages,503,470,663,367,448,548,813,792,557,412,293,447,474,613,705,714,628,589,2012
Housing,20124,15994,18002,15291,23315,20302,20637,27475,21031,18043,15592,18810,18547,20854,25900,21640,20681,18679,2012
Apparel and services,2059,1505,1827,1580,2281,1889,2022,2932,1892,1841,1150,2474,2279,2150,2379,2093,1901,1868,2012
Transportation,8656,9473,9897,8534,8031,7688,9610,11656,8532,8769,6883,10653,11811,8835,10466,8748,9526,8548,2012
Healthcare,4380,3301,4493,3188,3294,3408,4135,4584,3706,2957,2149,3690,3187,2707,4186,3338,3754,3102,2012
Entertainment,2812,2561,3188,2672,2474,2739,3485,3586,3043,2273,1442,3025,2892,2395,3384,2690,3401,4045,2012
Personal care products and services,678,655,782,575,692,652,710,1027,798,640,567,799,838,732,827,676,735,620,2012
Reading,123,126,167,109,104,159,166,195,156,86,37,104,113,95,198,114,194,142,2012
Education,2147,992,1177,1158,1790,1346,2306,1855,2494,1564,378,784,819,1471,1961,745,1790,409,2012
Tobacco products and smoking supplies,233,416,254,251,259,282,451,291,159,152,204,382,377,149,208,230,284,413,2012
Miscellaneous,948,850,882,542,842,701,1315,1448,588,666,539,488,989,915,1519,799,999,980,2012
Cash contributions,1755,1811,1847,2083,1502,1693,3251,2512,2100,1968,714,1947,2120,1279,3118,1394,2447,1482,2012
Personal insurance and pensions,6167,5627,6363,5751,6352,5352,7518,10548,9303,6498,5100,6390,6514,5616,10316,6278,6558,5871,2012
