Item,Chicago,Detroit,Minneapolis-St.Paul,St. Louis,New York,Philadelphia,Boston,"Washington, D.C.",Baltimore,Atlanta,Miami,Dallas-Fort Worth,Houston,Tampa,Los Angeles,San Francisco,San Diego,Seattle,Phoenix,Denver,Honolulu,Anchorage,Year
"Meats, poultry, fish, and eggs",1155,1150,957,836,1452,1030,1416,1111,1003,1187,1104,746,891,1028,1174,1418,1205,1201,803,937,1472,1459,2020
Cereals and bakery products,724,612,641,484,774,722,1031,744,698,737,508,440,422,620,613,848,627,731,429,545,710,867,2020
Dairy products,504,435,568,449,596,554,615,583,466,461,396,304,296,495,480,664,619,551,339,468,445,704,2020
Fruits and vegetables,1140,932,1061,841,1357,917,1429,1296,1112,1051,955,646,618,921,1036,1506,1292,1223,696,875,1324,1254,2020
Other food at home,2119,1762,2152,1765,1807,1968,2447,2050,1713,2018,1399,1329,1320,1783,1746,2267,2307,2281,1472,1785,2166,2589,2020
Food away from home,3108,2796,3553,3054,3706,3297,3923,4360,2780,3975,1815,2742,3776,3699,3820,4736,5017,3942,2998,3228,3835,3417,2020
Alcoholic beverages,504,609,1042,599,639,815,822,818,542,749,330,435,450,630,520,1011,1135,790,472,715,473,568,2020
Housing,23757,20143,25799,20493,29425,25884,30997,33572,24972,22379,20399,23277,23160,20648,25624,34460,30994,30007,21094,25965,23572,24548,2020
Apparel and services,1755,2325,2199,2227,2526,2424,2197,2901,1707,2243,1505,1509,1307,1202,1861,2077,2735,2764,1532,1651,1185,1993,2020
Transportation,8852,10861,11585,9314,9350,9823,11176,10912,11946,8711,9730,9696,11252,11178,10681,11139,11310,10766,12776,12749,8213,10522,2020
Healthcare,5628,5062,7050,6408,4683,5618,6962,6325,5610,5071,4348,5515,5171,5254,4339,5678,4451,4994,5238,5645,3909,4985,2020
Entertainment,2647,3278,4020,3410,3176,3078,3997,3876,2747,2735,1454,2742,6040,2533,2701,4063,4579,5235,2532,4675,1967,4936,2020
Personal care products and services,803,767,933,980,808,985,861,921,832,819,684,660,827,717,863,1012,972,1009,779,759,583,654,2020
Reading,88,90,277,81,100,162,198,211,101,64,32,85,70,115,87,117,109,169,75,136,55,122,2020
Education,1459,1238,2576,1225,2872,2375,4824,1995,2682,1112,1197,1882,1249,963,1189,2135,1708,2275,987,2270,1379,1469,2020
Tobacco products and smoking supplies,259,345,357,373,160,301,221,154,281,133,117,245,338,451,183,68,215,378,205,205,183,361,2020
Miscellaneous,594,1381,1481,1136,1022,1387,1264,1352,900,620,527,899,1222,701,1059,1188,1188,1255,850,997,610,1254,2020
Cash contributions,1172,1824,3959,3090,1961,1907,7093,3869,1811,1385,699,1591,3736,1426,2006,5223,1959,2104,2498,2296,799,2461,2020
Personal insurance and pensions,6984,7398,9835,7625,8858,9477,10106,12004,11626,7297,5945,7562,7726,6356,7877,12118,10794,10054,6693,9860,8001,9025,2020
