Item,Chicago,Detroit,Minneapolis-St.Paul,St. Louis,New York,Philadelphia,Boston,"Washington, D.C.",Baltimore,Atlanta,Miami,Dallas-Fort Worth,Houston,Tampa,Los Angeles,San Francisco,San Diego,Seattle,Phoenix,Denver,Honolulu,Anchorage,Year
"Meats, poultry, fish, and eggs",977,887,915,823,984,997,1033,1042,956,890,1126,846,1087,933,1050,1021,1224,1179,825,1127,1349,1073,2017
Cereals and bakery products,539,563,596,505,572,696,712,556,551,443,524,393,568,462,549,599,638,754,513,622,511,655,2017
Dairy products,453,392,485,373,456,495,519,463,428,344,378,299,373,388,423,449,520,605,364,502,413,502,2017
Fruits and vegetables,954,809,973,728,910,1033,1080,941,1008,672,880,665,905,650,970,972,997,1362,676,1047,1071,992,2017
Other food at home,1595,1463,1743,1605,1364,1637,1764,1701,1499,1351,1210,1230,1558,1182,1474,1447,1985,2078,1559,1758,1816,2062,2017
Food away from home,3652,3284,3859,3266,3404,3345,3156,4485,4521,2984,2922,3139,4662,2675,4262,4431,4620,4980,2918,3798,4875,3022,2017
Alcoholic beverages,509,658,754,684,499,492,823,662,724,385,487,576,650,417,620,875,1112,986,485,771,658,788,2017
Housing,21254,18794,22782,20154,26113,20932,29015,29101,23247,20965,22620,22350,21818,17131,24331,32656,28595,26965,19491,25059,24355,23039,2017
Apparel and services,1987,2102,1967,1567,2291,2125,2134,2668,1914,1874,2602,2353,2606,1346,2150,1878,2563,3884,1635,2387,1667,1648,2017
Transportation,7717,10426,9409,9958,7907,9505,8463,10748,11049,11747,7963,10507,12232,8307,9741,7994,10592,12810,9985,11841,7391,12446,2017
Healthcare,5154,5079,6242,4828,4681,5540,5261,5594,4926,4447,4405,4479,4517,3782,3956,5013,5272,5546,5328,6046,3977,4557,2017
Entertainment,3328,3002,4263,3061,2672,2821,3844,3778,3068,3000,2245,3333,3413,2100,2764,3413,4513,4295,3138,4340,3285,4346,2017
Personal care products and services,958,848,938,794,791,765,741,1018,861,670,866,778,844,612,868,949,1086,841,795,1215,705,778,2017
Reading,129,94,145,227,105,157,96,195,160,87,56,110,93,27,110,217,192,200,141,141,77,121,2017
Education,1673,1531,1526,927,2733,2702,3101,2033,1617,1319,563,1662,1474,658,2024,3214,2453,2036,1129,1430,1820,1523,2017
Tobacco products and smoking supplies,216,551,367,363,245,401,344,192,270,222,166,230,260,268,190,82,189,257,402,310,101,482,2017
Miscellaneous,1034,977,1155,1577,999,1581,1251,1558,913,771,1263,1150,974,944,1430,1335,1322,1527,912,1178,597,1526,2017
Cash contributions,1685,1526,4269,4201,3329,1560,2665,2426,1502,1945,933,1517,2093,996,1522,2412,2038,3502,1452,2397,3512,1867,2017
Personal insurance and pensions,6768,7199,8099,6754,7727,8653,8314,10760,9910,8136,8739,7592,7177,5776,8538,10336,9673,9983,10323,8119,6919,10179,2017
