Item,Chicago,Detroit,Minneapolis-St.Paul,St. Louis,New York,Philadelphia,Boston,"Washington, D.C.",Baltimore,Atlanta,Miami,Dallas-Fort Worth,Houston,Tampa,Los Angeles,San Francisco,San Diego,Seattle,Phoenix,Denver,Honolulu,Anchorage,Year
"Meats, poultry, fish, and eggs",1188,1158,1059,1064,1475,1137,1509,1436,1194,1192,1246,857,740,970,1372,1766,1299,1269,888,1114,1313,1399,2021
Cereals and bakery products,712,607,673,631,798,754,1077,873,731,690,587,400,379,603,661,923,740,754,513,553,767,889,2021
Dairy products,460,456,561,504,635,568,655,626,498,475,435,301,254,474,514,668,594,640,349,516,403,690,2021
Fruits and vegetables,1107,961,1045,997,1433,1111,1602,1314,1167,1201,1054,617,665,843,1166,1697,1284,1341,809,1099,1348,1564,2021
Other food at home,2174,1887,2001,2054,1994,2230,2573,2335,1857,2156,1391,1331,1103,1583,1858,2516,2347,2681,1679,1814,2075,2633,2021
Food away from home,3036,2422,2761,3444,3060,3615,3740,4025,3160,3524,1528,2521,2668,2564,3201,3250,4299,3568,2817,3282,3382,3366,2021
Alcoholic beverages,589,527,857,624,626,692,874,639,540,725,407,450,422,507,517,906,1165,1018,505,818,444,663,2021
Housing,24941,20160,26092,20612,30560,27813,30999,33242,25274,23885,20630,22896,23148,22070,26143,38212,32907,31834,21114,27199,25224,24833,2021
Apparel and services,2198,1557,1883,2082,2403,3051,1985,2111,1703,1825,1480,1449,1001,1567,1810,1933,3212,2479,1743,1380,774,1623,2021
Transportation,9255,10003,10211,10018,9014,9405,9611,9295,13637,10258,8664,10943,10984,11077,11219,11077,10851,12303,11639,12239,7580,8727,2021
Healthcare,5768,4845,6426,6079,4834,6454,6922,6482,5602,5356,3597,5087,5198,5985,4487,5798,5104,4771,5156,5626,4009,5295,2021
Entertainment,2981,3686,4254,3861,3346,4160,4148,3862,3022,2737,1610,3003,2749,2031,2978,3535,5608,4752,2955,4134,1878,4537,2021
Personal care products and services,887,678,942,956,803,881,936,1011,657,718,590,679,680,537,857,965,890,1090,824,926,605,642,2021
Reading,107,80,200,93,123,243,186,313,137,39,52,68,86,49,110,133,135,241,106,187,111,102,2021
Education,1566,1436,1656,1144,2748,3340,2975,2508,1450,1214,801,1660,1303,739,1127,1694,1900,1747,911,1419,1115,1164,2021
Tobacco products and smoking supplies,333,334,339,477,166,349,206,178,269,163,139,197,371,312,188,68,230,397,253,203,231,387,2021
Miscellaneous,810,1214,2362,1227,966,1474,1275,1277,1005,744,525,612,987,800,1104,819,1422,1625,816,908,598,926,2021
Cash contributions,1195,1818,2748,3191,2687,3212,7696,4558,3714,1597,882,1583,2042,1267,1527,3198,2446,3174,1758,2684,814,2900,2021
Personal insurance and pensions,7595,7202,11658,7973,9536,10699,11752,12683,10600,8122,6087,8018,7400,6897,7973,12133,12408,10619,6907,9033,8618,9914,2021
