Item,Chicago,Detroit,Minneapolis-St.Paul,St. Louis,New York,Philadelphia,Boston,"Washington, D.C.",Baltimore,Atlanta,Miami,Dallas-Fort Worth,Houston,Tampa,Los Angeles,San Francisco,San Diego,Seattle,Phoenix,Denver,Honolulu,Anchorage,Year
"Meats, poultry, fish, and eggs",1079,1023,1129,960,1323,996,1086,1225,1096,948,1011,845,1022,981,989,1258,1150,1056,731,1002,1597,1377,2019
Cereals and bakery products,653,600,617,514,710,679,841,700,640,605,426,527,575,580,576,661,648,657,479,600,835,913,2019
Dairy products,489,422,567,423,539,483,552,603,472,355,393,366,378,494,449,608,552,528,403,476,563,628,2019
Fruits and vegetables,1071,908,1059,777,1145,928,1231,1291,1062,742,848,798,790,886,944,1253,1058,1183,657,1057,1376,1164,2019
Other food at home,1777,1636,2126,1767,1635,1701,2148,2108,1674,1566,1276,1551,1527,1772,1625,1932,2091,2121,1566,1814,2253,2556,2019
Food away from home,3822,3687,4271,3357,4491,4026,4121,5681,3491,4016,2350,3564,4283,4341,4593,5773,5153,4748,4385,3848,5345,3686,2019
Alcoholic beverages,653,716,1112,584,670,756,925,1203,476,570,510,615,450,811,599,919,1108,837,594,637,546,666,2019
Housing,23677,19730,26654,21243,28040,25569,30043,31694,24601,21233,20479,25150,24142,20064,24613,31960,27764,29234,21492,25582,23089,23436,2019
Apparel and services,1873,2908,2999,1706,2801,2908,2128,3159,1556,2378,1381,1831,2566,1122,2080,2427,2274,2915,2178,2156,1577,2653,2019
Transportation,9084,11260,11049,11123,9255,11136,11779,13646,13255,9862,10915,10472,12352,10692,10959,11103,11704,11506,12525,12331,8403,13313,2019
Healthcare,5504,5042,6448,5700,4728,5609,6470,6813,5650,5222,4807,5734,4942,4315,4158,4898,4645,5140,5972,5977,4233,5179,2019
Entertainment,2796,4227,4962,2976,3005,3403,3768,4211,3753,2741,1752,2729,6200,2819,2901,3810,4590,4725,3611,4622,2307,5311,2019
Personal care products and services,871,805,950,906,913,1014,911,1232,894,864,870,818,1012,710,872,915,1025,963,1040,1053,755,743,2019
Reading,110,99,291,101,86,97,227,142,180,86,47,86,87,122,91,157,104,119,49,128,30,129,2019
Education,1711,1044,2932,1110,2711,1618,4681,2371,3736,1274,1442,1606,1352,1215,1854,2713,1057,2098,1010,2032,1375,1218,2019
Tobacco products and smoking supplies,258,437,437,376,213,248,218,134,261,125,174,202,249,361,201,100,116,367,369,255,206,435,2019
Miscellaneous,609,1596,1325,1590,1200,1098,1404,1705,883,728,583,841,1251,1293,1172,1454,1551,981,698,1176,413,1328,2019
Cash contributions,1246,1420,5498,1973,1685,2025,2057,3428,1569,1741,848,1491,3971,1281,1910,4334,1658,1772,2253,1857,952,1810,2019
Personal insurance and pensions,7520,7604,9581,7592,8658,8168,8707,14095,12350,9047,7358,7739,8138,5334,9238,11012,9202,10317,6478,9673,7628,10241,2019
